name,latitude,longitude,elevation
W06701,S40.0141243,E175.1639321,0
W06702,S40.0172570,E175.1630255,0
W06703,S40.0212105,E175.1620385,0
W06704,S40.0251693,E175.1611587,0
W06705,S40.0287419,E175.1603433,0
W06706,S40.0304370,E175.1577470,0
W06707,S40.0320356,E175.1540831,0
W06708,S40.0340311,E175.1535038,0
W06709,S40.0347767,E175.1549361,0
W06710,S40.0358013,E175.1572213,0
W06711,S40.0366703,E175.1591578,0
W06712,S40.0378290,E175.1617541,0
W06713,S40.0391003,E175.1646669,0
W06714,S40.0398996,E175.1664425,0
W06715,S40.0406882,E175.1683308,0
W06716,S40.0419219,E175.1707876,0
