name,latitude,longitude,elevation
W04801,S38.0207607,E177.4020146,0
W04802,S38.0228099,E177.4012690,0
W04803,S38.0240973,E177.3996865,0
W04804,S38.0250468,E177.3980128,0
W04805,S38.0262269,E177.3967147,0
W04806,S38.0284424,E177.3957008,0
W04807,S38.0303950,E177.3960709,0
W04808,S38.0318755,E177.3964035,0
W04809,S38.0335009,E177.3966610,0
W04810,S38.0349278,E177.3960602,0
W04811,S38.0373149,E177.3957008,0
W04812,S38.0386613,E177.3953896,0
W04813,S38.0408446,E177.3949283,0
W04814,S38.0422018,E177.3947727,0
W04815,S38.0528445,E177.3915166,0
W04816,S38.0530913,E177.3906153,0
