name,latitude,longitude,elevation
W08401,S39.6405108,E176.9996533,0
W08402,S39.6417285,E177.0049157,0
W08403,S39.6415515,E177.0096095,0
W08404,S39.6442926,E177.0133431,0
W08405,S39.6471625,E177.0174468,0
W08406,S39.6487557,E177.0214163,0
W08407,S39.6505957,E177.0274780,0
W08408,S39.6514593,E177.0320162,0
W08409,S39.6495926,E177.0372357,0
W08410,S39.6484822,E177.0415004,0
W08411,S39.6473879,E177.0463176,0
W08412,S39.6463043,E177.0507646,0
W08413,S39.6456123,E177.0558070,0
W08414,S39.6452207,E177.0609193,0
W08415,S39.6435042,E177.0652697,0
W08416,S39.6408059,E177.0692715,0
W08417,S39.6387353,E177.0742282,0
W08418,S39.6382311,E177.0771517,0
W08419,S39.6408757,E177.0798071,0
W08420,S39.6442337,E177.0838947,0
