name,latitude,longitude,elevation
W00201,S34.8249948,E173.1480606,0
W00202,S34.8274731,E173.1543529,0
W00203,S34.8368177,E173.1551254,0
W00204,S34.8448910,E173.1592666,0
W00205,S34.8526693,E173.1680480,0
W00206,S34.8586612,E173.1758316,0
W00207,S34.8637949,E173.1829018,0
W00208,S34.8692021,E173.1932067,0
W00209,S34.8731288,E173.2018969,0
W00210,S34.8775758,E173.2141973,0
W00211,S34.8798878,E173.2239121,0
W00212,S34.8820068,E173.2354830,0
W00213,S34.8835410,E173.2459595,0
W00214,S34.8846567,E173.2589090,0
W00215,S34.8854239,E173.2694070,0
W00216,S34.8899943,E173.2765576,0
W00217,S34.8979924,E173.2798299,0
W00218,S34.9044082,E173.2745352,0
W00219,S34.9130340,E173.2687954,0
W00220,S34.9210160,E173.2673470,0
