name,latitude,longitude,elevation
W06301,S39.6830296,E174.6208326,0
W06302,S39.6728775,E174.6243991,0
W06303,S39.6608226,E174.6356492,0
W06304,S39.6497819,E174.6359601,0
W06305,S39.6396648,E174.6425958,0
W06306,S39.6329220,E174.6522730,0
W06307,S39.6277454,E174.6621863,0
W06308,S39.6161908,E174.6601640,0
W06309,S39.6059611,E174.6663920,0
W06310,S39.5930225,E174.6659951,0
W06311,S39.5843270,E174.6741006,0
W06312,S39.5769350,E174.6701578,0
W06313,S39.5728045,E174.6597725,0
W06314,S39.5750253,E174.6561033,0
W06315,S39.5724343,E174.6425798,0
W06316,S39.5589915,E174.6408365,0
W06317,S39.5477211,E174.6456000,0
W06318,S39.5371857,E174.6517475,0
W06319,S39.5274710,E174.6553846,0
W06320,S39.5183625,E174.6628356,0
