name,latitude,longitude,elevation
W08001,S39.2781857,E176.8913164,0
W08002,S39.2746184,E176.8814890,0
W08003,S39.2745380,E176.8686039,0
W08004,S39.2766890,E176.8556866,0
W08005,S39.2671084,E176.8499253,0
W08006,S39.2605532,E176.8430912,0
W08007,S39.2529360,E176.8385637,0
W08008,S39.2483280,E176.8292245,0
W08009,S39.2451309,E176.8174659,0
W08010,S39.2425131,E176.8158512,0
W08011,S39.2323049,E176.8192147,0
W08012,S39.2241297,E176.8135017,0
W08013,S39.2167324,E176.8079443,0
W08014,S39.2079403,E176.8023761,0
W08015,S39.1990678,E176.8017968,0
W08016,S39.1894443,E176.7983851,0
W08017,S39.1827121,E176.7990289,0
W08018,S39.1768382,E176.7893731,0
W08019,S39.1710394,E176.7819757,0
W08020,S39.1699236,E176.7701527,0
