name,latitude,longitude,elevation
W03501,S39.1737193,E175.3925724,0
W03502,S39.1705383,E175.3900834,0
W03503,S39.1690416,E175.3894558,0
W03504,S39.1702164,E175.3842577,0
W03505,S39.1708547,E175.3822783,0
W03506,S39.1726410,E175.3776274,0
W03507,S39.1729951,E175.3757714,0
W03508,S39.1715521,E175.3710722,0
W03509,S39.1682316,E175.3700798,0
W03510,S39.1653671,E175.3682560,0
W03511,S39.1656621,E175.3655202,0
W03512,S39.1677381,E175.3602202,0
W03513,S39.1697389,E175.3592868,0
W03514,S39.1719383,E175.3573127,0
W03515,S39.1709566,E175.3539064,0
W03516,S39.1706509,E175.3495291,0
W03517,S39.1708654,E175.3472224,0
W03518,S39.1690308,E175.3416704,0
W03519,S39.1683227,E175.3398680,0
W03520,S39.1702217,E175.3357857,0
