name,latitude,longitude,elevation
W04401,S37.9878937,E177.3708748,0
W04402,S37.9870783,E177.3669374,0
W04403,S37.9875450,E177.3613048,0
W04404,S37.9880599,E177.3568203,0
W04405,S37.9884784,E177.3526093,0
W04406,S37.9888431,E177.3486397,0
W04407,S37.9894439,E177.3442785,0
W04408,S37.9897658,E177.3375570,0
W04409,S37.9900876,E177.3332816,0
W04410,S37.9902271,E177.3306960,0
W04411,S37.9908922,E177.3224939,0
W04412,S37.9911122,E177.3192646,0
W04413,S37.9913965,E177.3145655,0
W04414,S37.9916647,E177.3105583,0
W04415,S37.9919061,E177.3067979,0
W04416,S37.9923084,E177.3005914,0
W04417,S37.9925068,E177.2962034,0
W04418,S37.9950495,E177.2928721,0
W04419,S37.9989547,E177.2949213,0
W04420,S38.0010307,E177.2978770,0
