name,latitude,longitude,elevation
W07401,S40.4596004,E175.2152300,0
W07402,S40.4508299,E175.2168446,0
W07403,S40.4405251,E175.2188402,0
W07404,S40.4347424,E175.2198755,0
W07405,S40.4232200,E175.2218174,0
W07406,S40.4171422,E175.2226597,0
W07407,S40.4051477,E175.2242314,0
W07408,S40.3991987,E175.2248966,0
W07409,S40.3875744,E175.2258247,0
W07410,S40.3763040,E175.2268064,0
W07411,S40.3687565,E175.2273267,0
W07412,S40.3577276,E175.2272731,0
W07413,S40.3515586,E175.2272785,0
W07414,S40.3393925,E175.2269728,0
W07415,S40.3330787,E175.2268065,0
W07416,S40.3213578,E175.2260448,0
W07417,S40.3155912,E175.2256371,0
W07418,S40.3048573,E175.2252241,0
W07419,S40.3043584,E175.2340752,0
W07420,S40.3008985,E175.2433394,0
