name,latitude,longitude,elevation
W06601,S39.9380907,E174.9765940,0
W06602,S39.9347756,E174.9735739,0
W06603,S39.9317716,E174.9697330,0
W06604,S39.9306773,E174.9667129,0
W06605,S39.9261820,E174.9619387,0
W06606,S39.9243206,E174.9597929,0
W06607,S39.9200131,E174.9546861,0
W06608,S39.9180820,E174.9521810,0
W06609,S39.9155661,E174.9486352,0
W06610,S39.9125138,E174.9442686,0
W06611,S39.9090914,E174.9396768,0
W06612,S39.9067526,E174.9364153,0
W06613,S39.9039149,E174.9318717,0
W06614,S39.9012810,E174.9274944,0
W06615,S39.8985828,E174.9224627,0
W06616,S39.8971130,E174.9195177,0
W06617,S39.8945220,E174.9141212,0
W06618,S39.8928001,E174.9101086,0
W06619,S39.8904398,E174.9044600,0
W06620,S39.8878757,E174.9010537,0
