name,latitude,longitude,elevation
W08301,S39.9248322,E176.2029000,0
W08302,S39.9278630,E176.2011888,0
W08303,S39.9316019,E176.1999872,0
W08304,S39.9327230,E176.1969617,0
W08305,S39.9343377,E176.1936251,0
W08306,S39.9365048,E176.1907015,0
W08307,S39.9385862,E176.1894194,0
W08308,S39.9389563,E176.1868982,0
W08309,S39.9373899,E176.1815500,0
W08310,S39.9374221,E176.1782295,0
W08311,S39.9383179,E176.1752308,0
W08312,S39.9405655,E176.1725486,0
W08313,S39.9417242,E176.1685844,0
W08314,S39.9438860,E176.1656716,0
W08315,S39.9461658,E176.1625281,0
W08316,S39.9494005,E176.1601678,0
W08317,S39.9520182,E176.1577860,0
W08318,S39.9547808,E176.1552701,0
W08319,S39.9564599,E176.1516599,0
W08320,S39.9577205,E176.1466765,0
