name,latitude,longitude,elevation
W06401,S39.8235368,E175.0833068,0
W06402,S39.8056416,E175.0836608,0
W06403,S39.7943712,E175.1004244,0
W06404,S39.7759557,E175.1049466,0
W06405,S39.7567623,E175.0984987,0
W06406,S39.7390441,E175.0905810,0
W06407,S39.7271246,E175.0665918,0
W06408,S39.7134457,E175.0490451,0
W06409,S39.6949067,E175.0466258,0
W06410,S39.6854710,E175.0268315,0
W06411,S39.6672163,E175.0167466,0
W06412,S39.6676293,E174.9920868,0
W06413,S39.6762121,E174.9745884,0
W06414,S39.6939733,E174.9754198,0
W06415,S39.7100983,E174.9662736,0
W06416,S39.7190566,E174.9511837,0
W06417,S39.7392585,E174.9515645,0
W06418,S39.7560755,E174.9474930,0
W06419,S39.7737454,E174.9308474,0
W06420,S39.7928207,E174.9321992,0
