name,latitude,longitude,elevation
W06901,S39.7005725,E175.7328195,0
W06902,S39.7053949,E175.7279487,0
W06903,S39.7091017,E175.7263286,0
W06904,S39.7153940,E175.7233836,0
W06905,S39.7202915,E175.7217314,0
W06906,S39.7256290,E175.7219942,0
W06907,S39.7297541,E175.7222571,0
W06908,S39.7331926,E175.7255347,0
W06909,S39.7365024,E175.7220532,0
W06910,S39.7415019,E175.7190223,0
W06911,S39.7455519,E175.7207228,0
W06912,S39.7493176,E175.7178314,0
W06913,S39.7538451,E175.7156106,0
W06914,S39.7580507,E175.7166298,0
W06915,S39.7627927,E175.7153692,0
W06916,S39.7673148,E175.7156910,0
W06917,S39.7695731,E175.7181103,0
W06918,S39.7741381,E175.7227934,0
W06919,S39.7758386,E175.7263338,0
W06920,S39.7781989,E175.7326852,0
