name,latitude,longitude,elevation
W06501,S39.7874251,E175.4973040,0
W06502,S39.7688969,E175.4980926,0
W06503,S39.7545636,E175.5093523,0
W06504,S39.7383581,E175.5114820,0
W06505,S39.7214982,E175.5147972,0
W06506,S39.7063012,E175.5185791,0
W06507,S39.6960554,E175.5275590,0
W06508,S39.6834011,E175.5410932,0
W06509,S39.6844525,E175.5551531,0
W06510,S39.6921825,E175.5734776,0
W06511,S39.6985982,E175.5924029,0
W06512,S39.7145784,E175.5903698,0
W06513,S39.7292336,E175.5767551,0
W06514,S39.7406434,E175.5708597,0
W06515,S39.7572083,E175.5714658,0
W06516,S39.7726252,E175.5618583,0
W06517,S39.7860305,E175.5511725,0
W06518,S39.7839759,E175.5297957,0
W06519,S39.7786277,E175.5171734,0
W06520,S39.7873071,E175.4974488,0
