name,latitude,longitude,elevation
W06801,S40.0739842,E175.1383709,0
W06802,S40.0774495,E175.1359677,0
W06803,S40.0837847,E175.1414339,0
W06804,S40.0902165,E175.1468787,0
W06805,S40.0961118,E175.1515671,0
W06806,S40.1024899,E175.1564915,0
W06807,S40.1083585,E175.1609761,0
W06808,S40.1147312,E175.1647257,0
W06809,S40.1213132,E175.1692103,0
W06810,S40.1284048,E175.1739309,0
W06811,S40.1340105,E175.1770851,0
W06812,S40.1413005,E175.1805826,0
W06813,S40.1477967,E175.1836885,0
W06814,S40.1549633,E175.1872504,0
W06815,S40.1614970,E175.1904905,0
W06816,S40.1687120,E175.1936822,0
W06817,S40.1758035,E175.1967077,0
W06818,S40.1832706,E175.1991592,0
W06819,S40.1888066,E175.2007953,0
W06820,S40.1964238,E175.2032467,0
