name,latitude,longitude,elevation
W09101,S40.1841623,E175.9836540,0
W09102,S40.1821936,E175.9819643,0
W09103,S40.1804985,E175.9804998,0
W09104,S40.1795759,E175.9796791,0
W09105,S40.1781651,E175.9787349,0
W09106,S40.1764378,E175.9784292,0
W09107,S40.1750699,E175.9785579,0
W09108,S40.1737127,E175.9785365,0
W09109,S40.1730851,E175.9763907,0
W09110,S40.1721517,E175.9745722,0
W09111,S40.1717869,E175.9727430,0
W09112,S40.1720390,E175.9705436,0
W09113,S40.1712237,E175.9685481,0
W09114,S40.1697592,E175.9669174,0
