name,latitude,longitude,elevation
W07201,S40.1567016,E175.3778073,0
W07202,S40.1582251,E175.3753987,0
W07203,S40.1586489,E175.3731243,0
W07204,S40.1558916,E175.3698198,0
W07205,S40.1540463,E175.3677063,0
W07206,S40.1469172,E175.3612852,0
W07207,S40.1446749,E175.3587479,0
W07208,S40.1433285,E175.3572244,0
W07209,S40.1405820,E175.3540166,0
W07210,S40.1391336,E175.3523322,0
W07211,S40.1372293,E175.3501489,0
W07212,S40.1350675,E175.3476277,0
W07213,S40.1330720,E175.3453478,0
W07214,S40.1311891,E175.3431914,0
W07215,S40.1290702,E175.3408633,0
W07216,S40.1257765,E175.3415124,0
W07217,S40.1240492,E175.3418342,0
W07218,S40.1209916,E175.3423975,0
