name,latitude,longitude,elevation
W03201,S38.5855048,E175.7643163,0
W03202,S38.5796523,E175.7604969,0
W03203,S38.5777051,E175.7373552,0
W03204,S38.5794216,E175.7245023,0
W03205,S38.5709621,E175.7181456,0
W03206,S38.5627762,E175.7172659,0
W03207,S38.5520208,E175.7113330,0
W03208,S38.5466941,E175.6964791,0
W03209,S38.5451062,E175.6882074,0
W03210,S38.5499287,E175.6694590,0
W03211,S38.5499609,E175.6579472,0
W03212,S38.5453476,E175.6510111,0
W03213,S38.5355846,E175.6428466,0
W03214,S38.5254461,E175.6397997,0
W03215,S38.5249579,E175.6361734,0
W03216,S38.5270070,E175.6181922,0
W03217,S38.5272430,E175.6051676,0
W03218,S38.5199154,E175.5839839,0
W03219,S38.5170079,E175.5723219,0
W03220,S38.5146208,E175.5604292,0
