name,latitude,longitude,elevation
W07901,S39.2875242,E176.4638762,0
W07902,S39.2906301,E176.4635114,0
W07903,S39.2944441,E176.4633451,0
W07904,S39.2955331,E176.4631842,0
W07905,S39.2986551,E176.4618646,0
W07906,S39.3018093,E176.4603625,0
W07907,S39.3037994,E176.4575141,0
W07908,S39.3069858,E176.4560389,0
W07909,S39.3097484,E176.4571278,0
W07910,S39.3124627,E176.4566826,0
W07911,S39.3143724,E176.4555185,0
W07912,S39.3173549,E176.4549499,0
W07913,S39.3192378,E176.4527559,0
W07914,S39.3213406,E176.4531636,0
W07915,S39.3215605,E176.4493120,0
W07916,S39.3241139,E176.4496660,0
W07917,S39.3270696,E176.4501059,0
W07918,S39.3302346,E176.4509266,0
W07919,S39.3338716,E176.4523857,0
W07920,S39.3359744,E176.4520156,0
