name,latitude,longitude,elevation
W07801,S39.2874115,E176.4633720,0
W07802,S39.2839623,E176.4621596,0
W07803,S39.2806525,E176.4615320,0
W07804,S39.2785176,E176.4581257,0
W07805,S39.2761787,E176.4520157,0
W07806,S39.2763450,E176.4514149,0
W07807,S39.2796011,E176.4486362,0
W07808,S39.2771872,E176.4467801,0
W07809,S39.2754974,E176.4451118,0
W07810,S39.2766883,E176.4392379,0
W07811,S39.2790808,E176.4346085,0
W07812,S39.2821706,E176.4323018,0
W07813,S39.2850190,E176.4289384,0
W07814,S39.2878728,E176.4271145,0
W07815,S39.2898844,E176.4243894,0
W07816,S39.2886399,E176.4155919,0
W07817,S39.2892890,E176.4144976,0
W07818,S39.2898415,E176.4104475,0
W07819,S39.2910484,E176.4126898,0
W07820,S39.2882107,E176.4157529,0
