name,latitude,longitude,elevation
W03001,S38.6345954,E177.0318261,0
W03002,S38.6322727,E177.0341435,0
W03003,S38.6310604,E177.0375069,0
W03004,S38.6332812,E177.0400120,0
W03005,S38.6304971,E177.0420505,0
W03006,S38.6268333,E177.0439065,0
W03007,S38.6243765,E177.0442606,0
W03008,S38.6197847,E177.0458431,0
W03009,S38.6237489,E177.0504564,0
W03010,S38.6248700,E177.0522964,0
W03011,S38.6256854,E177.0559226,0
W03012,S38.6250363,E177.0598869,0
W03013,S38.6223113,E177.0610509,0
W03014,S38.6192375,E177.0656857,0
W03015,S38.6167163,E177.0686576,0
W03016,S38.6134602,E177.0708570,0
W03017,S38.6104616,E177.0733031,0
W03018,S38.6126771,E177.0889991,0
