name,latitude,longitude,elevation
W07601,S39.2155678,E176.5084808,0
W07602,S39.2134382,E176.5037816,0
W07603,S39.2146881,E176.5000749,0
W07604,S39.2156268,E176.4948393,0
W07605,S39.2189687,E176.4899792,0
W07606,S39.2175901,E176.4859882,0
W07607,S39.2154283,E176.4835849,0
W07608,S39.2141355,E176.4783386,0
W07609,S39.2130573,E176.4771853,0
W07610,S39.2103269,E176.4735698,0
W07611,S39.2076876,E176.4703780,0
W07612,S39.2047373,E176.4663065,0
W07613,S39.2002098,E176.4656467,0
W07614,S39.1987132,E176.4623047,0
W07615,S39.1957145,E176.4593168,0
W07616,S39.1912354,E176.4612480,0
W07617,S39.1895992,E176.4584102,0
W07618,S39.1870029,E176.4625622,0
W07619,S39.1842725,E176.4595099,0
W07620,S39.1861446,E176.4540276,0
