name,latitude,longitude,elevation
W04501,S37.7364324,E177.7024232,0
W04502,S37.7370118,E177.7098903,0
W04503,S37.7389644,E177.7130606,0
W04504,S37.7434650,E177.7181835,0
W04505,S37.7442751,E177.7240038,0
W04506,S37.7477726,E177.7294808,0
W04507,S37.7500792,E177.7342711,0
W04508,S37.7523430,E177.7379618,0
W04509,S37.7579058,E177.7389595,0
W04510,S37.7629857,E177.7375004,0
W04511,S37.7666764,E177.7369264,0
W04512,S37.7692620,E177.7428111,0
W04513,S37.7668051,E177.7505947,0
W04514,S37.7653943,E177.7561951,0
W04515,S37.7600247,E177.7588558,0
W04516,S37.7611083,E177.7615648,0
W04517,S37.7635008,E177.7673475,0
W04518,S37.7631253,E177.7736774,0
W04519,S37.7609903,E177.7768317,0
W04520,S37.7551808,E177.7819493,0
