name,latitude,longitude,elevation
W01201,S37.3139580,E175.0674235,0
W01202,S37.3133680,E175.0726162,0
W01203,S37.3130193,E175.0780663,0
W01204,S37.3101977,E175.0806358,0
W01205,S37.3082987,E175.0857802,0
W01206,S37.3054342,E175.0936068,0
W01207,S37.3042380,E175.0970078,0
W01208,S37.3024678,E175.1017445,0
W01209,S37.2998876,E175.1088630,0
W01210,S37.2985358,E175.1126931,0
W01211,S37.2966690,E175.1177999,0
W01212,S37.2945984,E175.1235398,0
W01213,S37.2927853,E175.1286091,0
W01214,S37.2909453,E175.1336462,0
W01215,S37.2891215,E175.1388013,0
W01216,S37.2874049,E175.1436024,0
W01217,S37.2857044,E175.1482586,0
W01218,S37.2833656,E175.1547226,0
W01219,S37.2812574,E175.1605376,0
W01220,S37.2801578,E175.1640029,0
