name,latitude,longitude,elevation
W06201,S39.5697841,E174.4333122,0
W06202,S39.5687595,E174.4367507,0
W06203,S39.5687166,E174.4425764,0
W06204,S39.5671395,E174.4471629,0
W06205,S39.5645861,E174.4511861,0
W06206,S39.5618504,E174.4534445,0
W06207,S39.5609009,E174.4563144,0
W06208,S39.5601821,E174.4614588,0
W06209,S39.5595759,E174.4640337,0
W06210,S39.5594847,E174.4679228,0
W06211,S39.5569850,E174.4704977,0
W06212,S39.5549734,E174.4707605,0
W06213,S39.5507678,E174.4722250,0
W06214,S39.5488957,E174.4729331,0
W06215,S39.5466051,E174.4710771,0
W06216,S39.5436333,E174.4693873,0
W06217,S39.5403074,E174.4696824,0
W06218,S39.5373517,E174.4691352,0
W06219,S39.5348466,E174.4685505,0
