name,latitude,longitude,elevation
W05301,S38.2579269,E177.5474784,0
W05302,S38.2590373,E177.5557073,0
W05303,S38.2608987,E177.5639791,0
W05304,S38.2579699,E177.5698477,0
W05305,S38.2564732,E177.5775991,0
W05306,S38.2526968,E177.5853399,0
W05307,S38.2489686,E177.5917073,0
W05308,S38.2527129,E177.5984127,0
W05309,S38.2533727,E177.6037449,0
W05310,S38.2481747,E177.6061696,0
W05311,S38.2431055,E177.6102894,0
W05312,S38.2370599,E177.6147847,0
W05313,S38.2310251,E177.6131271,0
W05314,S38.2249098,E177.6128482,0
W05315,S38.2189823,E177.6096296,0
W05316,S38.2131888,E177.6086694,0
W05317,S38.2069395,E177.6084066,0
W05318,S38.2063440,E177.6153266,0
W05319,S38.2020365,E177.6217155,0
W05320,S38.2036297,E177.6283351,0
