name,latitude,longitude,elevation
W02501,S38.2740931,E176.5104950,0
W02502,S38.2729880,E176.5122598,0
W02503,S38.2691794,E176.5149527,0
W02504,S38.2658965,E176.5172916,0
W02505,S38.2614066,E176.5184074,0
W02506,S38.2590570,E176.5199255,0
W02507,S38.2563749,E176.5214168,0
W02508,S38.2543525,E176.5222429,0
W02509,S38.2485859,E176.5203600,0
W02510,S38.2473950,E176.5245281,0
W02511,S38.2474004,E176.5264163,0
W02512,S38.2440638,E176.5295330,0
W02513,S38.2421810,E176.5336314,0
W02514,S38.2393647,E176.5357557,0
W02515,S38.2353952,E176.5340015,0
W02516,S38.2335337,E176.5298603,0
W02517,S38.2323643,E176.5277306,0
W02518,S38.2292691,E176.5259980,0
W02519,S38.2287702,E176.5184021,0
W02520,S38.2275740,E176.5161491,0
