name,latitude,longitude,elevation
W01001,S36.6847735,E174.3279576,0
W01002,S36.6750533,E174.3203402,0
W01003,S36.6672858,E174.3146433,0
W01004,S36.6582792,E174.3079058,0
W01005,S36.6485591,E174.3003850,0
W01006,S36.6417786,E174.2952728,0
W01007,S36.6295748,E174.2857994,0
W01008,S36.6212601,E174.2792067,0
W01009,S36.6152414,E174.2742125,0
W01010,S36.6032468,E174.2640686,0
W01011,S36.5952701,E174.2572774,0
W01012,S36.5892996,E174.2519291,0
W01013,S36.5801856,E174.2439256,0
W01014,S36.5712809,E174.2358791,0
W01015,S36.5615715,E174.2271567,0
W01016,S36.5542170,E174.2206176,0
W01017,S36.5432309,E174.2106990,0
W01018,S36.5318372,E174.2002171,0
W01019,S36.5285059,E174.1971005,0
W01020,S36.5194456,E174.1889199,0
