name,latitude,longitude,elevation
W10201,S41.6147742,E175.2909443,0
W10202,S41.6131489,E175.2986367,0
W10203,S41.6109817,E175.3046555,0
W10204,S41.6090291,E175.3085285,0
W10205,S41.6087824,E175.3169720,0
W10206,S41.6067279,E175.3244498,0
W10207,S41.6026832,E175.3312143,0
W10208,S41.5977749,E175.3343363,0
W10209,S41.5950445,E175.3400493,0
W10210,S41.5931349,E175.3471785,0
W10211,S41.5908926,E175.3502791,0
W10212,S41.5854050,E175.3549407,0
W10213,S41.5812584,E175.3598169,0
W10214,S41.5761945,E175.3611151,0
W10215,S41.5723216,E175.3670319,0
W10216,S41.5702456,E175.3743971,0
W10217,S41.5697199,E175.3777820,0
W10218,S41.5685183,E175.3903238,0
W10219,S41.5686310,E175.3956291,0
W10220,S41.5660508,E175.4009505,0
