name,latitude,longitude,elevation
W00101,S35.1589767,E173.1561763,0
W00102,S35.1199996,E173.1729774,0
W00103,S35.0802876,E173.1753646,0
W00104,S35.0429413,E173.1682247,0
W00105,S35.0058256,E173.1529096,0
W00106,S34.9693161,E173.1323697,0
W00107,S34.9371732,E173.1108373,0
W00108,S34.9012537,E173.0838977,0
W00109,S34.8690571,E173.0573604,0
W00110,S34.8367532,E173.0299112,0
W00111,S34.8047283,E173.0020382,0
W00112,S34.7728106,E172.9739023,0
W00113,S34.7398147,E172.9449618,0
W00114,S34.7100803,E172.9178559,0
W00115,S34.6781358,E172.8912006,0
W00116,S34.6441904,E172.8613696,0
W00117,S34.6146759,E172.8313187,0
W00118,S34.5862450,E172.7994868,0
W00119,S34.5569666,E172.7627519,0
W00120,S34.5267601,E172.7737220,0
