name,latitude,longitude,elevation
W07701,S39.5954391,E176.3877288,0
W07702,S39.5958360,E176.3859639,0
W07703,S39.5908235,E176.3670020,0
W07704,S39.5817870,E176.3646957,0
W07705,S39.5705148,E176.3571560,0
W07706,S39.5597881,E176.3509846,0
W07707,S39.5480856,E176.3489010,0
W07708,S39.5603860,E176.3335460,0
W07709,S39.5647353,E176.3156475,0
W07710,S39.5696107,E176.3091276,0
W07711,S39.5659929,E176.3001607,0
W07712,S39.5545447,E176.2923338,0
W07713,S39.5642657,E176.2770777,0
W07714,S39.5776664,E176.2670588,0
W07715,S39.5843988,E176.2604361,0
