name,latitude,longitude,elevation
W08201,S39.7844492,E176.2591668,0
W08202,S39.7866163,E176.2561145,0
W08203,S39.7879574,E176.2517319,0
W08204,S39.7885314,E176.2466143,0
W08205,S39.7893253,E176.2422692,0
W08206,S39.7909774,E176.2384820,0
W08207,S39.7936113,E176.2322808,0
W08208,S39.7943408,E176.2282307,0
W08209,S39.7946573,E176.2225338,0
W08210,S39.7966421,E176.2192723,0
W08211,S39.7982353,E176.2153885,0
W08212,S39.7992008,E176.2099008,0
W08213,S39.7983694,E176.2065106,0
W08214,S39.7977739,E176.2026107,0
W08215,S39.8014592,E176.2014896,0
W08216,S39.8038248,E176.1996818,0
W08217,S39.8064801,E176.1981583,0
W08218,S39.8078588,E176.1955620,0
W08219,S39.8089048,E176.1937649,0
W08220,S39.8108681,E176.1971766,0
