name,latitude,longitude,elevation
W09201,S40.4167514,E175.7266218,0
W09202,S40.4083563,E175.7242400,0
W09203,S40.4013560,E175.7284457,0
W09204,S40.3966515,E175.7331180,0
W09205,S40.3911692,E175.7394909,0
W09206,S40.3847053,E175.7482562,0
W09207,S40.3781716,E175.7548543,0
W09208,S40.3765463,E175.7582607,0
W09209,S40.3713858,E175.7637698,0
W09210,S40.3664346,E175.7621606,0
W09211,S40.3612259,E175.7684368,0
W09212,S40.3522354,E175.7736724,0
W09213,S40.3480298,E175.7779371,0
W09214,S40.3406915,E175.7790046,0
W09215,S40.3354131,E175.7857583,0
W09216,S40.3372047,E175.7963528,0
W09217,S40.3422579,E175.7977958,0
W09218,S40.3481318,E175.8027364,0
W09219,S40.3419790,E175.8083796,0
W09220,S40.3446879,E175.8167963,0
