name,latitude,longitude,elevation
W08501,S39.7458867,E177.0098291,0
W08502,S39.7421424,E177.0126722,0
W08503,S39.7394495,E177.0136164,0
W08504,S39.7351581,E177.0153490,0
W08505,S39.7325779,E177.0166204,0
W08506,S39.7292252,E177.0188466,0
W08507,S39.7244403,E177.0224836,0
W08508,S39.7209696,E177.0254018,0
W08509,S39.7173434,E177.0286097,0
W08510,S39.7148812,E177.0307340,0
W08511,S39.7102357,E177.0341135,0
W08512,S39.7079559,E177.0356155,0
W08513,S39.7033480,E177.0398695,0
W08514,S39.7001938,E177.0430720,0
W08515,S39.6974741,E177.0459687,0
W08516,S39.6956020,E177.0482217,0
W08517,S39.6932685,E177.0516388,0
W08518,S39.6902645,E177.0565526,0
W08519,S39.6878399,E177.0599857,0
W08520,S39.6852490,E177.0634672,0
