name,latitude,longitude,elevation
W09801,S41.3781186,E175.0777882,0
W09802,S41.3799800,E175.0756532,0
W09803,S41.3782527,E175.0657775,0
W09804,S41.3767883,E175.0626876,0
W09805,S41.3769492,E175.0608423,0
W09806,S41.3753882,E175.0518946,0
W09807,S41.3742027,E175.0482254,0
W09808,S41.3746854,E175.0418687,0
W09809,S41.3761177,E175.0384302,0
W09810,S41.3795347,E175.0335057,0
W09811,S41.3843196,E175.0269559,0
W09812,S41.3847810,E175.0256309,0
W09813,S41.3878278,E175.0188128,0
W09814,S41.3898448,E175.0156318,0
W09815,S41.3906924,E175.0092750,0
W09816,S41.3909015,E175.0031919,0
W09817,S41.3915345,E174.9994530,0
W09818,S41.3929453,E174.9942281,0
W09819,S41.3950964,E174.9897865,0
W09820,S41.3984490,E174.9852697,0
