name,latitude,longitude,elevation
W01401,S37.4168832,E175.3659159,0
W01402,S37.4139703,E175.3703147,0
W01403,S37.4121358,E175.3736030,0
W01404,S37.4119480,E175.3754644,0
W01405,S37.4086383,E175.3805874,0
W01406,S37.4074420,E175.3836450,0
W01407,S37.4073079,E175.3883549,0
W01408,S37.4040464,E175.3875342,0
W01409,S37.4021260,E175.3881994,0
W01410,S37.3988162,E175.3906938,0
W01411,S37.4010800,E175.3922333,0
W01412,S37.3978882,E175.3960045,0
W01413,S37.4011712,E175.3986169,0
W01414,S37.3866179,E175.4052687,0
W01415,S37.3840484,E175.4072696,0
W01416,S37.3810605,E175.4110675,0
W01417,S37.3785607,E175.4150425,0
W01418,S37.3749184,E175.4198919,0
