name,latitude,longitude,elevation
W02801,S38.5972221,E176.8376697,0
W02802,S38.6018783,E176.8386460,0
W02803,S38.6059069,E176.8403304,0
W02804,S38.6108903,E176.8391878,0
W02805,S38.6149511,E176.8381149,0
W02806,S38.6196556,E176.8372513,0
W02807,S38.6238451,E176.8353094,0
W02808,S38.6284101,E176.8330402,0
W02809,S38.6326103,E176.8310554,0
W02810,S38.6369661,E176.8306692,0
W02811,S38.6414131,E176.8281587,0
W02812,S38.6442562,E176.8254604,0
W02813,S38.6491162,E176.8235721,0
W02814,S38.6537456,E176.8225475,0
W02815,S38.6577259,E176.8202140,0
W02816,S38.6618349,E176.8172154,0
W02817,S38.6657455,E176.8163946,0
W02818,S38.6695809,E176.8144635,0
W02819,S38.6739635,E176.8117974,0
W02820,S38.6783837,E176.8099896,0
