name,latitude,longitude,elevation
W05401,S38.2579269,E177.5474784,0
W05402,S38.2397098,E177.5348723,0
W05403,S38.2329240,E177.5527248,0
W05404,S38.2158387,E177.5585720,0
W05405,S38.1985174,E177.5515501,0
W05406,S38.1921822,E177.5270405,0
W05407,S38.1796619,E177.5130397,0
W05408,S38.1606991,E177.5148475,0
W05409,S38.1406313,E177.5037595,0
W05410,S38.1330140,E177.4955843,0
W05411,S38.1173825,E177.5069352,0
W05412,S38.1046369,E177.4943345,0
W05413,S38.0929213,E177.4831821,0
W05414,S38.0753854,E177.4728504,0
W05415,S38.0595607,E177.4603140,0
W05416,S38.0454794,E177.4445376,0
W05417,S38.0264308,E177.4371778,0
W05418,S38.0130254,E177.4146101,0
W05419,S38.0090022,E177.3964143,0
W05420,S37.9907046,E177.3898752,0
