name,latitude,longitude,elevation
W02901,S38.5805230,E176.7778200,0
W02902,S38.5827867,E176.7687865,0
W02903,S38.5833070,E176.7659648,0
W02904,S38.5851309,E176.7599139,0
W02905,S38.5878667,E176.7578057,0
W02906,S38.5867187,E176.7521839,0
W02907,S38.5912783,E176.7490296,0
W02908,S38.5929144,E176.7448347,0
W02909,S38.5962725,E176.7400765,0
W02910,S38.5983967,E176.7353881,0
W02911,S38.6065344,E176.7353398,0
W02912,S38.6094793,E176.7335481,0
W02913,S38.6132343,E176.7332531,0
W02914,S38.6170591,E176.7338485,0
W02915,S38.6222034,E176.7300720,0
W02916,S38.6260121,E176.7256411,0
W02917,S38.6310116,E176.7207541,0
W02918,S38.6357375,E176.7202392,0
W02919,S38.6402757,E176.7202230,0
W02920,S38.6419869,E176.7263116,0
