name,latitude,longitude,elevation
W05901,S39.2418716,E174.8058116,0
W05902,S39.2349678,E174.7999592,0
W05903,S39.2271896,E174.7983124,0
W05904,S39.2224690,E174.7923150,0
W05905,S39.2203179,E174.7829114,0
W05906,S39.2175714,E174.7737813,0
W05907,S39.2120354,E174.7721667,0
W05908,S39.2061401,E174.7666200,0
W05909,S39.2070359,E174.7614166,0
W05910,S39.2028947,E174.7597644,0
W05911,S39.1997888,E174.7526137,0
W05912,S39.1949502,E174.7479146,0
W05913,S39.1899238,E174.7465735,0
W05914,S39.1816575,E174.7467988,0
W05915,S39.1764917,E174.7462732,0
W05916,S39.1724792,E174.7448516,0
W05917,S39.1665034,E174.7416652,0
W05918,S39.1603613,E174.7384627,0
W05919,S39.1534038,E174.7424270,0
W05920,S39.1465429,E174.7355660,0
