name,latitude,longitude,elevation
W00501,S35.2455516,E173.5470480,0
W00502,S35.2375320,E173.5584204,0
W00503,S35.2393344,E173.5737409,0
W00504,S35.2297109,E173.5837400,0
W00505,S35.2312665,E173.5956864,0
W00506,S35.2266533,E173.6061898,0
W00507,S35.2320712,E173.6192626,0
W00508,S35.2340882,E173.6294978,0
W00509,S35.2290404,E173.6412135,0
W00510,S35.2222599,E173.6532832,0
W00511,S35.2115742,E173.6489918,0
W00512,S35.2017844,E173.6376409,0
W00513,S35.1986891,E173.6252546,0
W00514,S35.2021437,E173.6096069,0
W00515,S35.2155384,E173.6020861,0
W00516,S35.2226568,E173.5933959,0
W00517,S35.2304297,E173.5825545,0
W00518,S35.2394471,E173.5735961,0
W00519,S35.2375427,E173.5582380,0
W00520,S35.2454336,E173.5467530,0
