name,latitude,longitude,elevation
W09901,S41.3756672,E175.1035906,0
W09902,S41.3760320,E175.1036711,0
W09903,S41.3780972,E175.1087135,0
W09904,S41.3841052,E175.1069486,0
W09905,S41.3850707,E175.1057417,0
W09906,S41.3865996,E175.1061869,0
W09907,S41.3881391,E175.1111918,0
W09908,S41.3905423,E175.1193080,0
W09909,S41.3922696,E175.1239535,0
W09910,S41.3931440,E175.1264801,0
W09911,S41.3941900,E175.1296504,0
W09912,S41.3948123,E175.1327725,0
W09913,S41.3967917,E175.1380510,0
W09914,S41.3972209,E175.1386893,0
