name,latitude,longitude,elevation
W05701,S38.1200648,E177.5897497,0
W05702,S38.1212181,E177.5901520,0
W05703,S38.1194908,E177.5915414,0
W05704,S38.1204403,E177.5929737,0
W05705,S38.1196303,E177.5949424,0
W05706,S38.1198556,E177.5987135,0
W05707,S38.1200594,E177.6001512,0
W05708,S38.1204296,E177.6015942,0
W05709,S38.1204403,E177.6022862,0
W05710,S38.1200219,E177.6068566,0
W05711,S38.1218458,E177.6076827,0
W05712,S38.1240558,E177.6102093,0
W05713,S38.1267326,E177.6112714,0
W05714,S38.1301121,E177.6106169,0
W05715,S38.1327138,E177.6092973,0
W05716,S38.1326280,E177.6123871,0
W05717,S38.1330464,E177.6147957,0
W05718,S38.1364366,E177.6162763,0
W05719,S38.1384322,E177.6192535,0
W05720,S38.1407871,E177.6203317,0
