name,latitude,longitude,elevation
W00801,S36.6007312,E174.4774884,0
W00802,S36.5990629,E174.4751066,0
W00803,S36.5972980,E174.4737387,0
W00804,S36.5967348,E174.4713462,0
W00805,S36.5958336,E174.4683315,0
W00806,S36.5955976,E174.4655689,0
W00807,S36.5950826,E174.4634231,0
W00808,S36.5934465,E174.4614383,0
W00809,S36.5906678,E174.4607142,0
W00810,S36.5885596,E174.4602367,0
W00811,S36.5861242,E174.4583378,0
W00812,S36.5841823,E174.4577584,0
W00813,S36.5833026,E174.4546954,0
W00814,S36.5824711,E174.4523405,0
W00815,S36.5814358,E174.4520830,0
W00816,S36.5808886,E174.4544165,0
W00817,S36.5788019,E174.4547812,0
W00818,S36.5764470,E174.4556985,0
W00819,S36.5741779,E174.4560150,0
W00820,S36.5718444,E174.4560311,0
