name,latitude,longitude,elevation
W03401,S38.6195084,E175.3651138,0
W03402,S38.6210104,E175.3742171,0
W03403,S38.6195567,E175.3855519,0
W03404,S38.6205652,E175.3950307,0
W03405,S38.6226197,E175.4014464,0
W03406,S38.6265196,E175.4088277,0
W03407,S38.6311650,E175.4149269,0
W03408,S38.6335897,E175.4200337,0
W03409,S38.6351615,E175.4277584,0
W03410,S38.6306716,E175.4334607,0
W03411,S38.6303443,E175.4387445,0
W03412,S38.6308164,E175.4464048,0
W03413,S38.6342871,E175.4519569,0
W03414,S38.6334181,E175.4563771,0
W03415,S38.6347806,E175.4635277,0
W03416,S38.6324150,E175.4745621,0
W03417,S38.6361593,E175.4806560,0
W03418,S38.6385893,E175.4837888,0
W03419,S38.6352420,E175.4908858,0
