name,latitude,longitude,elevation
W03901,S38.9497408,E176.5138083,0
W03902,S38.9488504,E176.5178798,0
W03903,S38.9523265,E176.5242258,0
W03904,S38.9547297,E176.5262321,0
W03905,S38.9583130,E176.5290161,0
W03906,S38.9621914,E176.5307595,0
W03907,S38.9667242,E176.5319504,0
W03908,S38.9670890,E176.5362258,0
W03909,S38.9710317,E176.5392405,0
W03910,S38.9742986,E176.5393478,0
W03911,S38.9783540,E176.5388703,0
W03912,S38.9818139,E176.5405655,0
W03913,S38.9861912,E176.5444278,0
W03914,S38.9892488,E176.5442132,0
W03915,S38.9942805,E176.5471421,0
W03916,S38.9977244,E176.5463052,0
W03917,S38.9962814,E176.5526834,0
W03918,S38.9998433,E176.5559235,0
W03919,S39.0030190,E176.5544536,0
W03920,S39.0066506,E176.5522060,0
