name,latitude,longitude,elevation
W08801,S40.1003417,E176.8697494,0
W08802,S40.1049710,E176.8704092,0
W08803,S40.1086670,E176.8705112,0
W08804,S40.1139669,E176.8719381,0
W08805,S40.1182208,E176.8725120,0
W08806,S40.1225981,E176.8733113,0
W08807,S40.1266803,E176.8711548,0
W08808,S40.1316315,E176.8701141,0
W08809,S40.1351558,E176.8662894,0
W08810,S40.1379238,E176.8630386,0
W08811,S40.1404879,E176.8567087,0
W08812,S40.1420435,E176.8515643,0
W08813,S40.1456107,E176.8477127,0
W08814,S40.1489580,E176.8463823,0
W08815,S40.1544296,E176.8458888,0
W08816,S40.1584421,E176.8432227,0
W08817,S40.1612583,E176.8399344,0
W08818,S40.1645520,E176.8356643,0
W08819,S40.1680012,E176.8306487,0
W08820,S40.1710427,E176.8267059,0
