name,latitude,longitude,elevation
W01601,S37.1425698,E175.7384906,0
W01602,S37.1409659,E175.7372300,0
W01603,S37.1391152,E175.7382116,0
W01604,S37.1371143,E175.7387588,0
W01605,S37.1357840,E175.7385067,0
W01606,S37.1336973,E175.7374606,0
W01607,S37.1313853,E175.7378522,0
W01608,S37.1296311,E175.7388178,0
W01609,S37.1275927,E175.7388822,0
W01610,S37.1262784,E175.7380668,0
W01611,S37.1241864,E175.7376645,0
W01612,S37.1223303,E175.7380293,0
W01613,S37.1211073,E175.7388018,0
W01614,S37.1182910,E175.7409099,0
W01615,S37.1168427,E175.7416395,0
W01616,S37.1159897,E175.7407919,0
W01617,S37.1150885,E175.7378201,0
W01618,S37.1136884,E175.7376431,0
W01619,S37.1118485,E175.7365648,0
W01620,S37.1097081,E175.7370959,0
