name,latitude,longitude,elevation
W02701,S38.3130967,E176.4219298,0
W02702,S38.3145504,E176.4202615,0
W02703,S38.3142393,E176.4182767,0
W02704,S38.3173827,E176.4157340,0
W02705,S38.3188150,E176.4089696,0
W02706,S38.3189866,E176.4075910,0
W02707,S38.3182088,E176.4055740,0
W02708,S38.3187828,E176.4033263,0
W02709,S38.3191475,E176.4002847,0
W02710,S38.3192495,E176.3977581,0
W02711,S38.3231332,E176.3955748,0
W02712,S38.3255847,E176.3927532,0
W02713,S38.3242972,E176.3927532,0
W02714,S38.3227899,E176.3899423,0
W02715,S38.3214649,E176.3873192,0
W02716,S38.3210679,E176.3880326,0
