name,latitude,longitude,elevation
W04101,S39.4328195,E175.4489938,0
W04102,S39.4364511,E175.4481569,0
W04103,S39.4378726,E175.4446969,0
W04104,S39.4381247,E175.4416071,0
W04105,S39.4396213,E175.4342418,0
W04106,S39.4400290,E175.4293549,0
W04107,S39.4408927,E175.4257179,0
W04108,S39.4408712,E175.4223009,0
W04109,S39.4392995,E175.4190501,0
W04110,S39.4380657,E175.4139969,0
W04111,S39.4391063,E175.4118726,0
W04112,S39.4373254,E175.4073022,0
W04113,S39.4361506,E175.4048132,0
W04114,S39.4346218,E175.4017448,0
W04115,S39.4337420,E175.3977054,0
W04116,S39.4360969,E175.3956509,0
W04117,S39.4372556,E175.3931350,0
W04118,S39.4399699,E175.3903509,0
W04119,S39.4407209,E175.3865262,0
