name,latitude,longitude,elevation
W06001,S39.4118813,E174.5286473,0
W06002,S39.4096283,E174.5353313,0
W06003,S39.4089042,E174.5432812,0
W06004,S39.4093387,E174.5515744,0
W06005,S39.4063025,E174.5600286,0
W06006,S39.4045484,E174.5680644,0
W06007,S39.4100254,E174.5734072,0
W06008,S39.4071447,E174.5812713,0
W06009,S39.4067800,E174.5871453,0
W06010,S39.4120316,E174.5901278,0
W06011,S39.4168434,E174.5976325,0
W06012,S39.4195685,E174.6053679,0
W06013,S39.4225134,E174.6094662,0
W06014,S39.4222184,E174.6191220,0
W06015,S39.4201746,E174.6281662,0
W06016,S39.4253565,E174.6335198,0
W06017,S39.4301844,E174.6298721,0
W06018,S39.4354307,E174.6285632,0
W06019,S39.4421736,E174.6328492,0
W06020,S39.4412026,E174.6404988,0
