name,latitude,longitude,elevation
W09601,S41.3503312,E174.7504681,0
W09602,S41.3493066,E174.7416008,0
W09603,S41.3509052,E174.7328624,0
W09604,S41.3572940,E174.7272674,0
W09605,S41.3605769,E174.7196822,0
W09606,S41.3614084,E174.7137224,0
W09607,S41.3588603,E174.7056169,0
W09608,S41.3533673,E174.6995070,0
W09609,S41.3478904,E174.6928928,0
W09610,S41.3486575,E174.6845459,0
W09611,S41.3434756,E174.6781999,0
W09612,S41.3425797,E174.6699818,0
W09613,S41.3425046,E174.6606693,0
W09614,S41.3383420,E174.6560131,0
W09615,S41.3323662,E174.6525531,0
W09616,S41.3267390,E174.6469957,0
W09617,S41.3229626,E174.6394803,0
W09618,S41.3174266,E174.6325550,0
W09619,S41.3101098,E174.6310905,0
W09620,S41.3033133,E174.6295403,0
