name,latitude,longitude,elevation
W07001,S39.7479284,E175.7856258,0
W07002,S39.7444792,E175.7877179,0
W07003,S39.7419258,E175.7888927,0
W07004,S39.7383317,E175.7866665,0
W07005,S39.7344265,E175.7886245,0
W07006,S39.7313421,E175.7904859,0
W07007,S39.7291856,E175.7865861,0
W07008,S39.7263372,E175.7827398,0
W07009,S39.7240198,E175.7777778,0
W07010,S39.7227538,E175.7734864,0
W07011,S39.7234458,E175.7683956,0
W07012,S39.7232366,E175.7632727,0
W07013,S39.7195138,E175.7594855,0
W07014,S39.7181566,E175.7536491,0
W07015,S39.7168155,E175.7512245,0
W07016,S39.7143480,E175.7447765,0
W07017,S39.7111187,E175.7441811,0
W07018,S39.7066556,E175.7396697,0
W07019,S39.7044723,E175.7363492,0
W07020,S39.7004384,E175.7329590,0
