name,latitude,longitude,elevation
W00701,S36.3649967,E174.1812921,0
W00702,S36.3926550,E174.1396380,0
W00703,S36.3951064,E174.0857694,0
W00704,S36.3841900,E174.0373188,0
W00705,S36.3421124,E174.0155505,0
W00706,S36.2960170,E174.0102077,0
W00707,S36.2580860,E173.9894746,0
W00708,S36.2147424,E173.9619879,0
W00709,S36.1748856,E173.9316956,0
W00710,S36.1396743,E173.9031038,0
W00711,S36.1002144,E173.8698611,0
W00712,S36.0639946,E173.8386998,0
W00713,S36.0260583,E173.8056717,0
W00714,S35.9900262,E173.7737218,0
W00715,S35.9531037,E173.7406937,0
W00716,S35.9154033,E173.7063567,0
W00717,S35.8803851,E173.6741440,0
W00718,S35.8434679,E173.6398767,0
W00719,S35.8090130,E173.6077552,0
W00720,S35.7715755,E173.5734289,0
