name,latitude,longitude,elevation
W03101,S38.6374970,E176.7199817,0
W03102,S38.6398358,E176.7170152,0
W03103,S38.6428613,E176.7160228,0
W03104,S38.6460369,E176.7151216,0
W03105,S38.6508862,E176.7133406,0
W03106,S38.6525277,E176.7124018,0
W03107,S38.6537025,E176.7087112,0
W03108,S38.6571785,E176.7078851,0
W03109,S38.6605044,E176.7069892,0
W03110,S38.6630256,E176.7063187,0
W03111,S38.6674028,E176.7047898,0
W03112,S38.6704712,E176.7058841,0
W03113,S38.6730031,E176.7035721,0
W03114,S38.6752991,E176.7000584,0
W03115,S38.6778256,E176.6988139,0
W03116,S38.6825301,E176.6846414,0
W03117,S38.6845417,E176.6847218,0
W03118,S38.6856038,E176.6867817,0
