name,latitude,longitude,elevation
W09401,S41.1017532,E176.0685686,0
W09402,S41.1032069,E176.0689978,0
W09403,S41.1056906,E176.0685954,0
W09404,S41.1065757,E176.0686223,0
W09405,S41.1084371,E176.0691694,0
W09406,S41.1104916,E176.0692713,0
W09407,S41.1120579,E176.0694108,0
W09408,S41.1131576,E176.0688636,0
W09409,S41.1150727,E176.0668681,0
W09410,S41.1164727,E176.0659991,0
W09411,S41.1184253,E176.0655646,0
W09412,S41.1201794,E176.0650013,0
W09413,S41.1217673,E176.0657362,0
W09414,S41.1230279,E176.0666911,0
