name,latitude,longitude,elevation
W00401,S35.2022804,E173.3432378,0
W00402,S35.2061412,E173.3513372,0
W00403,S35.2104669,E173.3548401,0
W00404,S35.2116473,E173.3618110,0
W00405,S35.2161879,E173.3638229,0
W00406,S35.2179042,E173.3733024,0
W00407,S35.2230968,E173.3729920,0
W00408,S35.2231461,E173.3806251,0
W00409,S35.2266816,E173.3834540,0
W00410,S35.2327747,E173.3832832,0
W00411,S35.2341359,E173.3898515,0
W00412,S35.2365443,E173.3844778,0
W00413,S35.2404178,E173.3840475,0
W00414,S35.2443713,E173.3835379,0
W00415,S35.2477616,E173.3818749,0
W00416,S35.2528576,E173.3826420,0
W00417,S35.2555344,E173.3859625,0
W00418,S35.2591124,E173.3899321,0
W00419,S35.2625939,E173.3934136,0
