name,latitude,longitude,elevation
W07101,S40.0601402,E175.9303061,0
W07102,S40.0600490,E175.9323553,0
W07103,S40.0590674,E175.9359172,0
W07104,S40.0578068,E175.9397527,0
W07105,S40.0586651,E175.9423866,0
W07106,S40.0601456,E175.9446343,0
W07107,S40.0584934,E175.9462221,0
W07108,S40.0583754,E175.9484322,0
W07109,S40.0577585,E175.9527880,0
W07110,S40.0575708,E175.9562480,0
W07111,S40.0568090,E175.9589302,0
W07112,S40.0565301,E175.9601318,0
W07113,S40.0592659,E175.9608721,0
W07114,S40.0598720,E175.9599172,0
W07115,S40.0616691,E175.9587961,0
W07116,S40.0647106,E175.9560173,0
W07117,S40.0654402,E175.9564411,0
W07118,S40.0648715,E175.9574013,0
W07119,S40.0632569,E175.9614192,0
W07120,S40.0636860,E175.9641550,0
