name,latitude,longitude,elevation
W05601,S38.1119538,E177.5068923,0
W05602,S38.1136919,E177.5163389,0
W05603,S38.1111009,E177.5259196,0
W05604,S38.1092449,E177.5348995,0
W05605,S38.1099906,E177.5436970,0
W05606,S38.1164170,E177.5479884,0
W05607,S38.1212127,E177.5534547,0
W05608,S38.1223928,E177.5632285,0
W05609,S38.1243830,E177.5697890,0
W05610,S38.1222480,E177.5755825,0
W05611,S38.1160952,E177.5745794,0
W05612,S38.1203062,E177.5824113,0
W05613,S38.1199253,E177.5895351,0
W05614,S38.1117769,E177.5877220,0
W05615,S38.1047229,E177.5874485,0
W05616,S38.0970412,E177.5871481,0
W05617,S38.0921115,E177.5881459,0
W05618,S38.0864736,E177.5807377,0
W05619,S38.0798219,E177.5824597,0
W05620,S38.0735564,E177.5814137,0
