name,latitude,longitude,elevation
W09001,S40.1511292,E176.0585883,0
W09002,S40.1492517,E176.0553161,0
W09003,S40.1470953,E176.0515182,0
W09004,S40.1449764,E176.0477471,0
W09005,S40.1429219,E176.0455584,0
W09006,S40.1399823,E176.0482674,0
W09007,S40.1357391,E176.0464650,0
W09008,S40.1339099,E176.0454136,0
W09009,S40.1302890,E176.0434181,0
W09010,S40.1295809,E176.0401834,0
W09011,S40.1277946,E176.0362728,0
W09012,S40.1257937,E176.0322603,0
W09013,S40.1224035,E176.0308602,0
W09014,S40.1202310,E176.0286126,0
W09015,S40.1173504,E176.0306779,0
W09016,S40.1149901,E176.0322228,0
W09017,S40.1128336,E176.0347548,0
W09018,S40.1100818,E176.0359135,0
W09019,S40.1080273,E176.0373779,0
W09020,S40.1057367,E176.0387834,0
