name,latitude,longitude,elevation
W02401,S38.1442758,E176.6027458,0
W02402,S38.1420796,E176.5884074,0
W02403,S38.1406031,E176.5769265,0
W02404,S38.1408902,E176.5706843,0
W02405,S38.1365314,E176.5642620,0
W02406,S38.1364455,E176.5609039,0
W02407,S38.1375023,E176.5549119,0
W02408,S38.1391759,E176.5490058,0
W02409,S38.1413699,E176.5451059,0
W02410,S38.1438321,E176.5469030,0
W02411,S38.1470668,E176.5459642,0
W02412,S38.1484401,E176.5419946,0
W02413,S38.1481397,E176.5365391,0
W02414,S38.1483542,E176.5314054,0
W02415,S38.1510471,E176.5255368,0
W02416,S38.1548772,E176.5223021,0
W02417,S38.1582996,E176.5200008,0
