name,latitude,longitude,elevation
W02301,S38.0987617,E176.7162281,0
W02302,S38.1063682,E176.7058535,0
W02303,S38.1154982,E176.6984077,0
W02304,S38.1176922,E176.6861181,0
W02305,S38.1202402,E176.6718329,0
W02306,S38.1260014,E176.6577193,0
W02307,S38.1327980,E176.6471086,0
W02308,S38.1363008,E176.6356236,0
W02309,S38.1401202,E176.6228833,0
W02310,S38.1421318,E176.6094779,0
W02311,S38.1470723,E176.5979982,0
W02312,S38.1467879,E176.5820608,0
W02313,S38.1444652,E176.5666544,0
W02314,S38.1447602,E176.5544506,0
W02315,S38.1547699,E176.5470800,0
W02316,S38.1617113,E176.5374027,0
W02317,S38.1711095,E176.5282619,0
W02318,S38.1806579,E176.5189065,0
W02319,S38.1888706,E176.5094974,0
W02320,S38.1862529,E176.5001206,0
