name,latitude,longitude,elevation
W08901,S40.3086683,E176.6652501,0
W08902,S40.3071931,E176.6665429,0
W08903,S40.3048113,E176.6669827,0
W08904,S40.3020541,E176.6679966,0
W08905,S40.3001927,E176.6689461,0
W08906,S40.2974945,E176.6704910,0
W08907,S40.2953488,E176.6716283,0
W08908,S40.2936054,E176.6724705,0
W08909,S40.2907731,E176.6739510,0
W08910,S40.2887132,E176.6754423,0
W08911,S40.2869698,E176.6766278,0
W08912,S40.2850118,E176.6779046,0
W08913,S40.2826516,E176.6794227,0
W08914,S40.2808438,E176.6806511,0
W08915,S40.2775877,E176.6828666,0
W08916,S40.2758926,E176.6842399,0
W08917,S40.2741921,E176.6854361,0
W08918,S40.2715153,E176.6878393,0
W08919,S40.2694930,E176.6893628,0
W08920,S40.2678784,E176.6908809,0
