name,latitude,longitude,elevation
W03601,S39.1139131,E175.5381497,0
W03602,S39.1039945,E175.5168909,0
W03603,S39.0955887,E175.5025896,0
W03604,S39.0888511,E175.4830044,0
W03605,S39.0778168,E175.4862231,0
W03606,S39.0628183,E175.4856706,0
W03607,S39.0472082,E175.4798557,0
W03608,S39.0317645,E175.4942643,0
W03609,S39.0237234,E175.4917753,0
W03610,S39.0080704,E175.4934597,0
W03611,S38.9944666,E175.5022733,0
W03612,S38.9851489,E175.4982072,0
W03613,S38.9716255,E175.4873981,0
W03614,S38.9780143,E175.4712193,0
W03615,S38.9848484,E175.4691487,0
W03616,S38.9910120,E175.4588384,0
W03617,S38.9907974,E175.4418174,0
W03618,S38.9944451,E175.4301553,0
W03619,S39.0031298,E175.3900838,0
W03620,S39.0004369,E175.3765979,0
